PopCode,Area,Year,Week,Sex,Age,AgeInterval,Deaths,Type,Access
USA,1,2015,53,b,25,20,2415,O,O
USA,1,2015,53,b,45,20,10286,O,O
USA,1,2015,53,b,65,10,9736,O,O
USA,1,2015,53,b,75,10,12380,O,O
USA,1,2015,53,b,85,+,16656,O,O
USA,1,2015,53,b,TOT,.,52633,O,O
USA,1,2016,1,b,0,25,1148,O,O
USA,1,2016,1,b,25,20,2470,O,O
USA,1,2016,1,b,45,20,10919,O,O
USA,1,2016,1,b,65,10,10268,O,O
USA,1,2016,1,b,75,10,13105,O,O
USA,1,2016,1,b,85,+,18027,O,O
USA,1,2016,1,b,TOT,.,55937,O,O
USA,1,2016,2,b,0,25,1179,O,O
USA,1,2016,2,b,25,20,2350,O,O
USA,1,2016,2,b,45,20,10617,O,O
USA,1,2016,2,b,65,10,10185,O,O
USA,1,2016,2,b,75,10,13154,O,O
USA,1,2016,2,b,85,+,18169,O,O
USA,1,2016,2,b,TOT,.,55654,O,O
USA,1,2016,3,b,0,25,1155,O,O
USA,1,2016,3,b,25,20,2427,O,O
USA,1,2016,3,b,45,20,10689,O,O
USA,1,2016,3,b,65,10,10112,O,O
USA,1,2016,3,b,75,10,13053,O,O
USA,1,2016,3,b,85,+,17844,O,O
USA,1,2016,3,b,TOT,.,55280,O,O
USA,1,2016,4,b,0,25,1191,O,O
USA,1,2016,4,b,25,20,2485,O,O
USA,1,2016,4,b,45,20,10639,O,O
USA,1,2016,4,b,65,10,10133,O,O
USA,1,2016,4,b,75,10,13330,O,O
USA,1,2016,4,b,85,+,17931,O,O
USA,1,2016,4,b,TOT,.,55709,O,O
USA,1,2016,5,b,0,25,1198,O,O
USA,1,2016,5,b,25,20,2514,O,O
USA,1,2016,5,b,45,20,10714,O,O
USA,1,2016,5,b,65,10,10026,O,O
USA,1,2016,5,b,75,10,12999,O,O
USA,1,2016,5,b,85,+,17544,O,O
USA,1,2016,5,b,TOT,.,54995,O,O
USA,1,2016,6,b,0,25,1260,O,O
USA,1,2016,6,b,25,20,2575,O,O
USA,1,2016,6,b,45,20,10846,O,O
USA,1,2016,6,b,65,10,10326,O,O
USA,1,2016,6,b,75,10,13034,O,O
USA,1,2016,6,b,85,+,17181,O,O
USA,1,2016,6,b,TOT,.,55222,O,O
USA,1,2016,7,b,0,25,1293,O,O
USA,1,2016,7,b,25,20,2587,O,O
USA,1,2016,7,b,45,20,10802,O,O
USA,1,2016,7,b,65,10,10363,O,O
USA,1,2016,7,b,75,10,13191,O,O
USA,1,2016,7,b,85,+,17676,O,O
USA,1,2016,7,b,TOT,.,55912,O,O
USA,1,2016,8,b,0,25,1218,O,O
USA,1,2016,8,b,25,20,2505,O,O
USA,1,2016,8,b,45,20,10621,O,O
USA,1,2016,8,b,65,10,10208,O,O
USA,1,2016,8,b,75,10,12985,O,O
USA,1,2016,8,b,85,+,17438,O,O
USA,1,2016,8,b,TOT,.,54975,O,O
USA,1,2016,9,b,0,25,1215,O,O
USA,1,2016,9,b,25,20,2555,O,O
USA,1,2016,9,b,45,20,11073,O,O
USA,1,2016,9,b,65,10,10401,O,O
USA,1,2016,9,b,75,10,13065,O,O
USA,1,2016,9,b,85,+,17673,O,O
USA,1,2016,9,b,TOT,.,55982,O,O
USA,1,2016,10,b,0,25,1266,O,O
USA,1,2016,10,b,25,20,2626,O,O
USA,1,2016,10,b,45,20,11110,O,O
USA,1,2016,10,b,65,10,10426,O,O
USA,1,2016,10,b,75,10,13097,O,O
USA,1,2016,10,b,85,+,17700,O,O
USA,1,2016,10,b,TOT,.,56225,O,O
USA,1,2016,11,b,0,25,1271,O,O
USA,1,2016,11,b,25,20,2592,O,O
USA,1,2016,11,b,45,20,11023,O,O
USA,1,2016,11,b,65,10,10051,O,O
USA,1,2016,11,b,75,10,12549,O,O
USA,1,2016,11,b,85,+,17080,O,O
USA,1,2016,11,b,TOT,.,54566,O,O
USA,1,2016,12,b,0,25,1298,O,O
USA,1,2016,12,b,25,20,2554,O,O
USA,1,2016,12,b,45,20,10757,O,O
USA,1,2016,12,b,65,10,10275,O,O
USA,1,2016,12,b,75,10,12625,O,O
USA,1,2016,12,b,85,+,17263,O,O
USA,1,2016,12,b,TOT,.,54772,O,O
USA,1,2016,13,b,0,25,1248,O,O
USA,1,2016,13,b,25,20,2534,O,O
USA,1,2016,13,b,45,20,10665,O,O
USA,1,2016,13,b,65,10,10201,O,O
